=== 부산도시철도 1호선 (Total: 40) ===
  95: 다대포해수욕장 (환승: 일반역, 환승노선: nan)
  96: 다대포항역 (환승: 일반역, 환승노선: nan)
  97: 낫개역 (환승: 일반역, 환승노선: nan)
  98: 신장림역 (환승: 일반역, 환승노선: nan)
  99: 장림역 (환승: 일반역, 환승노선: nan)
  100: 동매역 (환승: 일반역, 환승노선: nan)
  101: 신평역 (환승: 일반역, 환승노선: nan)
  102: 하단역 (환승: 일반역, 환승노선: nan)
  103: 당리역 (환승: 일반역, 환승노선: nan)
  104: 사하역 (환승: 일반역, 환승노선: nan)
  105: 괴정역 (환승: 일반역, 환승노선: nan)
  106: 대티역 (환승: 일반역, 환승노선: nan)
  107: 서대신역 (환승: 일반역, 환승노선: nan)
  108: 동대신역 (환승: 일반역, 환승노선: nan)
  109: 토성역 (환승: 일반역, 환승노선: nan)
  110: 자갈치역 (환승: 일반역, 환승노선: nan)
  111: 남포역 (환승: 일반역, 환승노선: nan)
  112: 중앙역 (환승: 일반역, 환승노선: nan)
  113: 부산역 (환승: 일반역, 환승노선: nan)
  114: 초량역 (환승: 일반역, 환승노선: nan)
  115: 부산진역 (환승: 일반역, 환승노선: nan)
  116: 좌천역 (환승: 일반역, 환승노선: nan)
  117: 범일역 (환승: 일반역, 환승노선: nan)
  118: 범내골역 (환승: 일반역, 환승노선: nan)
  119: 서면역(1호선) (환승: 환승역, 환승노선: 부산도시철도 1호선+부산도시철도 2호선)
  120: 부전역 (환승: 일반역, 환승노선: nan)
  121: 양정역 (환승: 일반역, 환승노선: nan)
  122: 시청역 (환승: 일반역, 환승노선: nan)
  123: 연산역 (환승: 환승역, 환승노선: 부산도시철도 1호선+부산도시철도 3호선)
  124: 교대역 (환승: 일반역, 환승노선: nan)
  125: 동래역 (환승: 일반역, 환승노선: nan)
  126: 명륜역 (환승: 일반역, 환승노선: nan)
  127: 온천장역 (환승: 일반역, 환승노선: nan)
  128: 부산대역 (환승: 일반역, 환승노선: nan)
  129: 장전역 (환승: 일반역, 환승노선: nan)
  130: 구서역 (환승: 일반역, 환승노선: nan)
  131: 두실역 (환승: 일반역, 환승노선: nan)
  132: 남산역 (환승: 일반역, 환승노선: nan)
  133: 범어사역 (환승: 일반역, 환승노선: nan)
  134: 노포역 (환승: 일반역, 환승노선: nan)

=== 부산도시철도 2호선 (Total: 43) ===
  201: 장산역 (환승: 일반역, 환승노선: nan)
  202: 중동역 (환승: 일반역, 환승노선: nan)
  203: 해운대역 (환승: 일반역, 환승노선: nan)
  204: 동백역 (환승: 일반역, 환승노선: nan)
  205: 시립미술관역 (환승: 일반역, 환승노선: nan)
  206: 센텀시티역 (환승: 일반역, 환승노선: nan)
  207: 민락역 (환승: 일반역, 환승노선: nan)
  208: 수영역 (환승: 환승역, 환승노선: 부산도시철도 2호선+부산도시철도 3호선)
  209: 광안역 (환승: 일반역, 환승노선: nan)
  210: 금련산역 (환승: 일반역, 환승노선: nan)
  211: 남천역 (환승: 일반역, 환승노선: nan)
  212: 경성대부경대역 (환승: 일반역, 환승노선: nan)
  213: 대연역 (환승: 일반역, 환승노선: nan)
  214: 못골역 (환승: 일반역, 환승노선: nan)
  215: 지게골역 (환승: 일반역, 환승노선: nan)
  216: 문현역 (환승: 일반역, 환승노선: nan)
  217: 국제금융센터부산은행역 (환승: 일반역, 환승노선: nan)
  218: 전포역 (환승: 일반역, 환승노선: nan)
  219: 서면역(2호선) (환승: 환승역, 환승노선: 부산도시철도 2호선+부산도시철도 1호선)
  220: 부암역 (환승: 일반역, 환승노선: nan)
  221: 가야역 (환승: 일반역, 환승노선: nan)
  222: 동의대역 (환승: 일반역, 환승노선: nan)
  223: 개금역 (환승: 일반역, 환승노선: nan)
  224: 냉정역 (환승: 일반역, 환승노선: nan)
  225: 주례역 (환승: 일반역, 환승노선: nan)
  226: 감전역 (환승: 일반역, 환승노선: nan)
  227: 사상역 (환승: 환승역, 환승노선: 부산도시철도 2호선+김해경전철)
  228: 덕포역 (환승: 일반역, 환승노선: nan)
  229: 모덕역 (환승: 일반역, 환승노선: nan)
  230: 모라역 (환승: 일반역, 환승노선: nan)
  231: 구남역 (환승: 일반역, 환승노선: nan)
  232: 구명역 (환승: 일반역, 환승노선: nan)
  233: 덕천역(2호선) (환승: 환승역, 환승노선: 부산도시철도 2호선+부산도시철도 3호선)
  234: 수정역 (환승: 일반역, 환승노선: nan)
  235: 화명역 (환승: 일반역, 환승노선: nan)
  236: 율리역 (환승: 일반역, 환승노선: nan)
  237: 동원역 (환승: 일반역, 환승노선: nan)
  238: 금곡역 (환승: 일반역, 환승노선: nan)
  239: 호포역 (환승: 일반역, 환승노선: nan)
  240: 증산역 (환승: 일반역, 환승노선: nan)
  241: 부산대양산캠퍼스역 (환승: 일반역, 환승노선: nan)
  242: 남양산역 (환승: 일반역, 환승노선: nan)
  243: 양산역 (환승: 일반역, 환승노선: nan)

=== 부산도시철도 3호선 (Total: 17) ===
  301: 수영역(3호선) (환승: 환승역, 환승노선: 부산도시철도 3호선+부산도시철도 2호선)
  302: 망미역 (환승: 일반역, 환승노선: nan)
  303: 배산역 (환승: 일반역, 환승노선: nan)
  304: 물만골역 (환승: 일반역, 환승노선: nan)
  305: 연산역(3호선) (환승: 환승역, 환승노선: 부산도시철도 3호선+부산도시철도 1호선)
  306: 거제역 (환승: 일반역, 환승노선: nan)
  307: 종합운동장역 (환승: 일반역, 환승노선: nan)
  308: 사직역 (환승: 일반역, 환승노선: nan)
  309: 미남역(3호선) (환승: 환승역, 환승노선: 부산도시철도 3호선+부산도시철도 4호선)
  310: 만덕역 (환승: 일반역, 환승노선: nan)
  311: 남산정역 (환승: 일반역, 환승노선: nan)
  312: 숙등역 (환승: 일반역, 환승노선: nan)
  313: 덕천역(3호선) (환승: 환승역, 환승노선: 부산도시철도 3호선+부산도시철도 2호선)
  314: 구포역 (환승: 일반역, 환승노선: nan)
  315: 강서구청역 (환승: 일반역, 환승노선: nan)
  316: 체육공원역 (환승: 일반역, 환승노선: nan)
  317: 대저역 (환승: 일반역, 환승노선: nan)

=== 부산도시철도 4호선 (Total: 14) ===
  401: 미남역(4호선) (환승: 환승역, 환승노선: 부산도시철도 4호선+부산도시철도 3호선)
  402: 동래역(4호선) (환승: 환승역, 환승노선: 부산도시철도 4호선+부산도시철도 1호선)
  403: 수안역 (환승: 일반역, 환승노선: nan)
  404: 낙민역 (환승: 일반역, 환승노선: nan)
  405: 충렬사역 (환승: 일반역, 환승노선: nan)
  406: 명장역 (환승: 일반역, 환승노선: nan)
  407: 서동역 (환승: 일반역, 환승노선: nan)
  408: 금사역 (환승: 일반역, 환승노선: nan)
  409: 반여농산물시장역 (환승: 일반역, 환승노선: nan)
  410: 석대역 (환승: 일반역, 환승노선: nan)
  411: 영산대역 (환승: 일반역, 환승노선: nan)
  412: 윗반송역 (환승: 일반역, 환승노선: nan)
  413: 고촌역 (환승: 일반역, 환승노선: nan)
  414: 안평역 (환승: 일반역, 환승노선: nan)

