호선명	역번호	역명	종착역 여부	환승역 여부	승강장 유형	역 위도	역 경도	엘리베이터 내부 관리번호	엘리베이터 고유번호	출발층	출발 구분	출발층위	도착층	도착 구분	도착층위	이동방향	단계별 대체 경로	경로 이용 가능 여부	경로복잡도 점수	경로복잡도 등급	학습라벨	대체경로유형
2	233	덕천	N	Y	상대식	35.21021911	129.0056732	1	E-0233-01	대합실	지하	1	역사 외부	지상	1	양방향	2호기 이용	Y	2.0	단순	대체 엘리베이터 이용	ALT_ELV
2	233	덕천	N	Y	상대식	35.21021911	129.0056732	1	E-0233-01	역사 외부	지상	1	대합실	지하	1	양방향	2호기 이용	Y	2.0	단순	대체 엘리베이터 이용	ALT_ELV
2	233	덕천	N	Y	상대식	35.21021911	129.0056732	2	E-0233-02	대합실	지하	1	역사 외부	지상	1	양방향	1호기 이용	Y	2.0	단순	대체 엘리베이터 이용	ALT_ELV
2	233	덕천	N	Y	상대식	35.21021911	129.0056732	2	E-0233-02	역사 외부	지상	1	대합실	지하	1	양방향	1호기 이용	Y	2.0	단순	대체 엘리베이터 이용	ALT_ELV
3	313	덕천	N	Y	섬식	35.18617285	129.0815261	1	E-0313-01	대합실	지하	1	역사 외부	지상	1	양방향	2호기 이용	Y	2.0	단순	대체 엘리베이터 이용	ALT_ELV
3	313	덕천	N	Y	섬식	35.18617285	129.0815261	1	E-0313-01	역사 외부	지상	1	대합실	지하	1	양방향	2호기 이용	Y	2.0	단순	대체 엘리베이터 이용	ALT_ELV
3	313	덕천	N	Y	섬식	35.18617285	129.0815261	2	E-0313-02	대합실	지하	1	역사 외부	지상	1	양방향	1호기 이용	Y	2.0	단순	대체 엘리베이터 이용	ALT_ELV
3	313	덕천	N	Y	섬식	35.18617285	129.0815261	2	E-0313-02	역사 외부	지상	1	대합실	지하	1	양방향	1호기 이용	Y	2.0	단순	대체 엘리베이터 이용	ALT_ELV
3	313	덕천	N	Y	섬식	35.18617285	129.0815261	3	E-0313-03	대합실	지하	1	승강장	지하	2	양방향	4호기 이용	Y	3.0	보통	대체 엘리베이터 이용	ALT_ELV
3	313	덕천	N	Y	섬식	35.18617285	129.0815261	3	E-0313-03	승강장	지하	2	대합실	지하	1	양방향	4호기 이용	Y	3.0	보통	대체 엘리베이터 이용	ALT_ELV
3	313	덕천	N	Y	섬식	35.18617285	129.0815261	3	E-0313-03	대합실	지하	1	승강장	지하	3	양방향	3호기 이용 또는 5호기 이용	Y	4.0	보통	대체 엘리베이터 이용	ALT_ELV
